선D,선B,선C ,선F,선E,선A,,,선A ,선B ,외국,선D,선C,사과,자습,,선A,선C,선E,선D,선F,창체,창체,,자습,선C ,선F,체육,선E,교양,선B,,선F,선D,선A,외국,선E,선B ,자습
DD,BB,CC,FF,EE,AA,,,AA,BB,외외,DD,CC,강서,성은,,AA,CC,EE,DD,FF,,,,이진,CC,FF,김경,EE,교교,BB,,FF,DD,AA,외외,EE,BB,김근
선D,선B,선C ,선F,선E,선A,,,선A ,선B ,사과,선D,선C,외국,자습,,선A,선C,선E,선D,선F,창체,창체,,체육,선C ,선F,외국,선E,교양,선B,,선F,선D,선A,자습,선E,선B ,자습
DD,BB,CC,FF,EE,AA,,,AA,BB,강서,DD,CC,외외,성은,,AA,CC,EE,DD,FF,,,,김경,CC,FF,외외,EE,교교,BB,,FF,DD,AA,양정,EE,BB,김근
선D,선B,선C ,선F,선E,선A,,,선A ,선B ,체육,선D,선C,자습,외국,,선A,선C,선E,선D,선F,창체,창체,,외국,선C ,선F,자습,선E,사과,선B,,선F,선D,선A,교양,선E,선B ,자습
DD,BB,CC,FF,EE,AA,,,AA,BB,김경,DD,CC,이성,외외,,AA,CC,EE,DD,FF,,,,외외,CC,FF,김지,EE,김지,BB,,FF,DD,AA,교교,EE,BB,김근
선D,선B,선C ,선F,선E,선A,,,선A ,선B ,외국,선D,선C,교양,자습,,선A,선C,선E,선D,선F,창체,창체,,사과,선C ,선F,자습,선E,체육,선B,,선F,선D,선A,외국,선E,선B ,자습
DD,BB,CC,FF,EE,AA,,,AA,BB,외외,DD,CC,교교,성은,,AA,CC,EE,DD,FF,,,,김지,CC,FF,문일,EE,김경,BB,,FF,DD,AA,외외,EE,BB,김근
선D,선B,선C ,선F,선E,선A,,,선A ,선B ,사과,선D,선C,체육,자습,,선A,선C,선E,선D,선F,창체,창체,,자습,선C ,선F,자습,선E,외국,선B,,선F,선D,선A,교양,선E,선B ,외국
DD,BB,CC,FF,EE,AA,,,AA,BB,이원,DD,CC,김경,성은,,AA,CC,EE,DD,FF,,,,여은,CC,FF,유병,EE,외외,BB,,FF,DD,AA,교교,EE,BB,외외
선D,선B,선C ,선F,선E,선A,,,선A ,선B ,자습,선D,선C,체육,외국,,선A,선C,선E,선D,선F,창체,창체,,외국,선C ,선F,자습,선E,사과,선B,,선F,선D,선A,고양,선E,선B ,자습
DD,BB,CC,FF,EE,AA,,,AA,BB,최경,DD,CC,조권,외외,,AA,CC,EE,DD,FF,,,,외외,CC,FF,이원,EE,이원,BB,,FF,DD,AA,교교,EE,BB,김근
선D,선B,선C ,선F,선E,선A,,,선A ,선B ,자습,선D,선C,교양,자습,,선A,선C,선E,선D,선F,창체,창체,,체육,선C ,선F,사과,선E,외국,선B,,선F,선D,선A,자습,선E,선B ,외국
DD,BB,CC,FF,EE,AA,,,AA,BB,조권,DD,CC,교교,성은,,AA,CC,EE,DD,FF,,,,조권,CC,FF,권미,EE,외외,BB,,FF,DD,AA,권미,EE,BB,외외
선D,선B,선C ,선F,선E,선A,,,선A ,선B ,자습,선D,선C,외국,자습,,선A,선C,선E,선D,선F,창체,창체,,사과,선C ,선F,외국,선E,교양,선B,,선F,선D,선A,체육,선E,선B ,자습
DD,BB,CC,FF,EE,AA,,,AA,BB,박효,DD,CC,외외,성은,,AA,CC,EE,DD,FF,,,,권미,CC,FF,외외,EE,교교,BB,,FF,DD,AA,조권,EE,BB,김근
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,